path,line,source,field,voltage_v
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter004.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter005.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter006.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter007.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter008.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260705_112145\voltage_state_layer02_iter009.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter004.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter005.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter006.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter007.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter008.csv,76,csv,voltage,4.332
