iter,label,mzi_id,arm_index,port,scan_voltage,loss
0,MZI6_arm1,6,1,8,5.1,0.46743688884920376
0,MZI6_arm1,6,1,8,5.2,0.4215692187689881
0,MZI6_arm1,6,1,8,5.3,0.4073479186240716
0,MZI6_arm1,6,1,8,5.4,0.38763306426604344
0,MZI6_arm1,6,1,8,5.5,0.3856690582805851
0,MZI7_arm1,7,1,9,0.0,0.3814051107666601
0,MZI7_arm1,7,1,9,0.1,0.38146285558897963
0,MZI7_arm1,7,1,9,0.2,0.5247032448284009
0,MZI7_arm1,7,1,9,0.3,0.38335975149704765
0,MZI7_arm1,7,1,9,0.4,0.3318102074021541
0,MZI7_arm1,7,1,9,0.5,0.38687639082934927
0,MZI7_arm1,7,1,9,0.6,0.4679969985655883
0,MZI7_arm1,7,1,9,0.7,0.38936426193561385
0,MZI7_arm1,7,1,9,0.8,0.46812562344476394
0,MZI7_arm1,7,1,9,0.9,0.386794848128963
0,MZI7_arm1,7,1,9,1.0,0.38207372615906837
0,MZI7_arm1,7,1,9,1.1,0.374211048534417
0,MZI7_arm1,7,1,9,1.2,0.36239427251876793
0,MZI7_arm1,7,1,9,1.3,0.3461407290569352
0,MZI7_arm1,7,1,9,1.4,0.3250616175939686
0,MZI7_arm1,7,1,9,1.5,0.2993175851406941
0,MZI7_arm1,7,1,9,1.6,0.39731629006422603
0,MZI7_arm1,7,1,9,1.7,0.2323117960725692
0,MZI7_arm1,7,1,9,1.8,0.19693625810042267
0,MZI7_arm1,7,1,9,1.9,0.1577986445425832
0,MZI7_arm1,7,1,9,2.0,0.11997908958327232
0,MZI7_arm1,7,1,9,2.1,0.08424923279139154
0,MZI7_arm1,7,1,9,2.2,0.2881536223292867
0,MZI7_arm1,7,1,9,2.3,0.0863885838021725
0,MZI7_arm1,7,1,9,2.4,0.01397910775310336
0,MZI7_arm1,7,1,9,2.5,0.0073316497669293915
0,MZI7_arm1,7,1,9,2.6,0.05995734644690005
0,MZI7_arm1,7,1,9,2.7,0.017730018224532896
0,MZI7_arm1,7,1,9,2.8,0.02947235471105029
0,MZI7_arm1,7,1,9,2.9,0.040381045189380196
0,MZI7_arm1,7,1,9,3.0,0.046596462111714115
0,MZI7_arm1,7,1,9,3.1,0.04534539174613236
0,MZI7_arm1,7,1,9,3.2,0.12040829823231898
0,MZI7_arm1,7,1,9,3.3,0.023453765369370966
0,MZI7_arm1,7,1,9,3.4,0.0110341774506601
0,MZI7_arm1,7,1,9,3.5,0.0068445729939475555
0,MZI7_arm1,7,1,9,3.6,0.01845814134359308
0,MZI7_arm1,7,1,9,3.7,0.04970256411669233
0,MZI7_arm1,7,1,9,3.8,0.10820935497353372
0,MZI7_arm1,7,1,9,3.9,0.18435493650773888
0,MZI7_arm1,7,1,9,4.0,0.26715690208120874
0,MZI7_arm1,7,1,9,4.1,0.33971913350857197
0,MZI7_arm1,7,1,9,4.2,0.513257884374922
0,MZI7_arm1,7,1,9,4.3,0.3831330363191402
0,MZI7_arm1,7,1,9,4.4,0.340624819417971
0,MZI7_arm1,7,1,9,4.5,0.3213212172270713
0,MZI7_arm1,7,1,9,4.6,0.17397676706508639
0,MZI7_arm1,7,1,9,4.7,0.08925427496485805
0,MZI7_arm1,7,1,9,4.8,0.03072568409073738
0,MZI7_arm1,7,1,9,4.9,0.008223072919856349
0,MZI7_arm1,7,1,9,5.0,0.01611177983400235
