switch_mzi,port,feature_coefficient,upload_voltage,target_leak_power,p_on_leak,p_off_leak,scan_path
3,41,0.88,3.161,24.782698688560004,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.89,3.147,22.769718400930003,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.9,3.134,20.756738113300003,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.91,3.12,18.743757825670002,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.92,3.106,16.73077753804,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.93,3.089,14.717797250410001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.9400000000000001,3.069,12.70481696278,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.9500000000000001,3.049,10.691836675149972,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.96,3.028,8.67885638752,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.97,3.008,6.665876099889999,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.98,2.976,4.652895812259999,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.99,2.936,2.6399155246299983,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,1.0,2.859,0.6269352369999979,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
4,48,0.0,4.23,171.32591,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.01,4.117,169.61931622236,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.02,4.085,167.91272244472,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.03,4.068,166.20612866707998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.04,4.051,164.49953488943999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.05,4.034,162.7929411118,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.06,4.017,161.08634733416,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.07,4.0,159.37975355652,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.08,3.989,157.67315977888,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.09,3.978,155.96656600123998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.1,3.967,154.2599722236,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.11,3.956,152.55337844596,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.12,3.945,150.84678466832,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.13,3.934,149.14019089068,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.14,3.923,147.43359711303998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.15,3.912,145.72700333539998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.16,3.901,144.02040955776,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.17,3.892,142.31381578012,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.18,3.884,140.60722200248,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.19,3.875,138.90062822483998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.2,3.866,137.19403444719998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.21,3.857,135.48744066956,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.22,3.849,133.78084689192,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.23,3.84,132.07425311428,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.24,3.831,130.36765933664,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.25,3.823,128.661065559,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.26,3.814,126.95447178135998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.27,3.805,125.24787800371999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.28,3.797,123.54128422608,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.29,3.789,121.83469044844,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.3,3.781,120.1280966708,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.31,3.773,118.42150289316,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.32,3.765,116.71490911551999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.33,3.757,115.00831533787999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.34,3.749,113.30172156024,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.35000000000000003,3.741,111.59512778259999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.36,3.733,109.88853400496,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.37,3.725,108.18194022731998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.38,3.717,106.47534644967999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.39,3.709,104.76875267204,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.4,3.701,103.06215889439999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.41000000000000003,3.693,101.35556511675999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.42,3.685,99.64897133912,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.43,3.677,97.94237756148,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.44,3.67,96.23578378383999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.45,3.662,94.5291900062,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.46,3.654,92.82259622855999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.47000000000000003,3.646,91.11600245091999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.48,3.638,89.40940867328,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.49,3.631,87.70281489563999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.5,3.623,85.996221118,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.51,3.615,84.28962734036,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.52,3.607,82.58303356271999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.53,3.599,80.87643978508,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.54,3.591,79.16984600743999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.55,3.583,77.46325222979999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.56,3.574,75.75665845215998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.5700000000000001,3.566,74.05006467451999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.58,3.558,72.34347089688,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.59,3.549,70.63687711924,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.6,3.541,68.9302833416,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.61,3.533,67.22368956396,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.62,3.525,65.51709578632,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.63,3.516,63.81050200867999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.64,3.508,62.103908231039995,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.65,3.5,60.397314453399986,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.66,3.49,58.69072067575999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.67,3.481,56.98412689811998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.68,3.472,55.27753312047999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.6900000000000001,3.463,53.57093934283998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.7000000000000001,3.454,51.86434556519998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.71,3.444,50.15775178756,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.72,3.435,48.45115800991999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.73,3.426,46.74456423228,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.74,3.417,45.03797045463999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.75,3.407,43.331376676999994,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.76,3.398,41.624782899359985,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.77,3.387,39.91818912171999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.78,3.376,38.211595344079996,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.79,3.365,36.50500156644,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.8,3.354,34.79840778879998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.81,3.343,33.09181401115998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.8200000000000001,3.332,31.385220233519988,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.8300000000000001,3.321,29.678626455879993,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.84,3.311,27.972032678239998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.85,3.3,26.265438900600003,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.86,3.286,24.558845122960008,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.87,3.272,22.852251345319985,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.88,3.258,21.14565756767999,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.89,3.244,19.439063790039995,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.9,3.23,17.7324700124,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.91,3.216,16.025876234759977,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.92,3.203,14.319282457119982,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.93,3.184,12.612688679479987,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.9400000000000001,3.164,10.906094901839992,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.9500000000000001,3.144,9.199501124199998,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.96,3.124,7.492907346560003,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.97,3.104,5.786313568920008,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.98,3.071,4.0797197912799845,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,0.99,3.034,2.3731260136399897,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
4,48,1.0,2.972,0.6665322359999948,0.6665322360000001,171.32591,Scandata-backup-04\1Col\power_data\48.txt
5,44,0.0,3.977,214.55116299999997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.01,3.888,212.40765873136,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.02,3.866,210.26415446271997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.03,3.844,208.12065019407999,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.04,3.822,205.97714592543997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.05,3.8,203.83364165679998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.06,3.787,201.69013738815997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.07,3.774,199.54663311951998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.08,3.761,197.40312885087997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.09,3.748,195.25962458223998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.1,3.735,193.11612031359996,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.11,3.722,190.97261604495998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.12,3.709,188.82911177631996,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.13,3.697,186.68560750767998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.14,3.687,184.54210323904,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.15,3.678,182.39859897039997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.16,3.669,180.25509470175996,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.17,3.659,178.11159043311997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.18,3.65,175.96808616447998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.19,3.64,173.82458189583997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.2,3.631,171.68107762719998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.21,3.621,169.53757335856,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.22,3.612,167.39406908991998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.23,3.603,165.25056482127997,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.24,3.594,163.10706055263998,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
5,44,0.25,3.585,160.963556284,0.20073613599999998,214.55116299999997,Scandata-backup-04\1Col\power_data\44.txt
