port,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA
87,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
88,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
89,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
90,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
91,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
92,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
93,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
94,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
95,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
96,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
97,-0.1301166658270099,-0.1301084625255676,,-0.13012486912845217,-0.13010025922412527
98,-0.13583606064876327,-0.13583606064876327,,-0.13583606064876327,-0.13583606064876327
99,7.867035464320261,7.867035464320261,,7.867035464320261,7.867035464320261
100,7.762294405506757,7.762294405506757,,7.762294405506757,7.762294405506757
101,7.991415471661297,7.991415471661297,,7.991415471661297,7.991415471661297
102,7.510261232736778,7.510261232736778,,7.510261232736778,7.510261232736778
103,-0.0967620421626262,-0.0967784487655108,,-0.0967702454640685,-0.0967620421626262
104,-0.09868981800156623,-0.09868161470012393,,0.0685180752967941,-0.09867341139868163
105,8.413652865003224,8.413652865003224,,0.04344878608913144,8.413652865003224
106,7.788479670210142,7.788479670210142,,0.06720554706602648,7.788479670210142
107,8.380921284124002,8.380921284124002,,0.0645886939059334,8.380921284124002
108,8.315458122365557,8.315458122365557,,-0.2687934767090578,8.315458122365557
109,-4.1016507211564516e-06,-4.1016507211564516e-06,,-0.2687934767090578,4.1016507211564516e-06
110,4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,4.1016507211564516e-06
111,4.1016507211564516e-06,-4.1016507211564516e-06,,-0.2687934767090578,-4.1016507211564516e-06
112,4.1016507211564516e-06,4.1016507211564516e-06,,-0.2687934767090578,-4.1016507211564516e-06
113,4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,4.1016507211564516e-06
114,-4.1016507211564516e-06,-4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
115,4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
116,-4.1016507211564516e-06,-4.1016507211564516e-06,,-0.2687934767090578,-4.1016507211564516e-06
117,4.1016507211564516e-06,4.1016507211564516e-06,,-0.2687934767090578,4.1016507211564516e-06
118,4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,4.1016507211564516e-06
119,-4.1016507211564516e-06,-4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
120,4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
121,-4.1016507211564516e-06,-4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
122,-4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
123,-4.1016507211564516e-06,-4.1016507211564516e-06,,-0.2687934767090578,-4.1016507211564516e-06
124,-4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,4.1016507211564516e-06
125,-4.1016507211564516e-06,-4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
126,4.1016507211564516e-06,4.1016507211564516e-06,,0.2686868337903079,-4.1016507211564516e-06
127,-4.1016507211564516e-06,-4.1016507211564516e-06,,0.2687934767090578,-4.1016507211564516e-06
128,-4.1016507211564516e-06,-4.1016507211564516e-06,,0.03504860541221823,-4.1016507211564516e-06
