mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,iteration
3,41,4.164,8.093643218673503,7.01274120337266,7.284278896806152,8.903007540540854,441,441,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,443,443,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,443,443,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,443,443,2
4,48,3.803,7.466643360747172,,6.719979024672455,8.21330769682189,443,443,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,443,443,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,443,443,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,443,443,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,443,443,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,446,446,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,446,446,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,446,446,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,446,446,0
5,44,3.66,7.07566977249858,,6.368102795248722,7.783236749748438,446,446,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,446,446,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,446,446,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,446,446,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,448,448,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,448,448,4
3,41,3.915,7.609657348968963,,6.848691614072067,8.37062308386586,448,448,4
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,448,448,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,448,448,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,448,448,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,448,448,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,448,448,4
3,41,4.164,8.093643218673503,7.268047534230565,7.284278896806152,8.903007540540854,451,451,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,481,481,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,481,481,1
