switch_mzi,port,feature_coefficient,upload_voltage,target_chip_power_uw,target_leak_power,p_on_leak,p_off_leak,chip_power_max_uw,scan_path
6,46,0.51,3.761,99.969121432518,96.42249056748201,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.52,3.753,101.929300284136,94.462311715864,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.53,3.744,103.889479135754,92.50213286424601,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.54,3.736,105.849657987372,90.54195401262801,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.55,3.728,107.80983683899001,88.58177516101,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.56,3.72,109.770015690608,86.621596309392,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.5700000000000001,3.712,111.73019454222602,84.661417457774,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.58,3.704,113.69037339384398,82.70123860615602,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.59,3.695,115.650552245462,80.74105975453801,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.6,3.686,117.61073109707999,78.78088090292002,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.61,3.677,119.57090994869799,76.82070205130202,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.62,3.669,121.531088800316,74.86052319968401,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.63,3.66,123.491267651934,72.90034434806601,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.64,3.651,125.451446503552,70.940165496448,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.65,3.642,127.41162535517,68.97998664483,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.66,3.633,129.371804206788,67.01980779321201,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.67,3.624,131.331983058406,65.05962894159401,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.68,3.615,133.292161910024,63.09945008997602,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.6900000000000001,3.607,135.25234076164202,61.13927123835799,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.7000000000000001,3.597,137.21251961326,59.179092386739995,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.71,3.587,139.17269846487798,57.21891353512203,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.72,3.578,141.13287731649598,55.25873468350403,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.73,3.568,143.093056168114,53.298555831886006,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.74,3.558,145.053235019732,51.33837698026801,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.75,3.548,147.01341387135,49.37819812865001,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.76,3.538,148.973592722968,47.418019277032016,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.77,3.528,150.933771574586,45.45784042541402,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.78,3.518,152.89395042620401,43.497661573795995,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.79,3.508,154.854129277822,41.537482722178,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.8,3.497,156.81430812944,39.57730387056,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.81,3.485,158.774486981058,37.617125018942005,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.8200000000000001,3.473,160.734665832676,35.65694616732401,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.8300000000000001,3.461,162.694844684294,33.69676731570601,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.84,3.449,164.655023535912,31.736588464088015,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.85,3.437,166.61520238753,29.77640961247002,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.86,3.425,168.575381239148,27.816230760852022,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.87,3.413,170.53556009076598,25.856051909234026,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.88,3.401,172.495738942384,23.895873057616,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.89,3.383,174.455917794002,21.935694205998004,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.9,3.364,176.41609664562,19.975515354380008,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.91,3.344,178.376275497238,18.01533650276201,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.92,3.325,180.336454348856,16.055157651144015,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.93,3.306,182.296633200474,14.094978799526018,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.9400000000000001,3.287,184.25681205209202,12.134799947907993,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.9500000000000001,3.268,186.21699090371,10.174621096289997,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.96,3.248,188.17716975532798,8.214442244672028,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.97,3.229,190.13734860694598,6.254263393054032,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.98,3.21,192.097527458564,4.294084541436007,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.99,3.229,194.057706310182,2.3339056898180104,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,1.0,3.082,196.0178851618,0.37372683820001384,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
7,42,0.0,3.995,0.0,241.08791,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.01,3.949,2.400497142738,238.687412857262,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.02,3.902,4.800994285476,236.28691571452399,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.03,3.883,7.201491428213999,233.88641857178598,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.04,3.865,9.601988570952,231.485921429048,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.05,3.847,12.00248571369,229.08542428631,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.06,3.829,14.402982856427998,226.684927143572,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.07,3.811,16.803479999166,224.284430000834,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.08,3.795,19.203977141904,221.883932858096,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.09,3.784,21.604474284642,219.48343571535798,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.1,3.772,24.00497142738,217.08293857261998,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.11,3.761,26.405468570118,214.682441429882,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.12,3.749,28.805965712855997,212.281944287144,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.13,3.738,31.206462855594,209.881447144406,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.14,3.726,33.606959998332,207.480950001668,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.15,3.715,36.00745714107,205.08045285893,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.16,3.703,38.407954283808,202.67995571619198,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.17,3.693,40.808451426546,200.279458573454,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.18,3.684,43.208948569284,197.878961430716,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.19,3.675,45.609445712022,195.478464287978,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.2,3.665,48.00994285476,193.07796714524,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.21,3.656,50.410439997497996,190.677470002502,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.22,3.647,52.810937140236,188.276972859764,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.23,3.638,55.211434282974004,185.87647571702598,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.24,3.629,57.611931425711994,183.475978574288,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.25,3.619,60.01242856845,181.07548143155,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.26,3.61,62.412925711188,178.674984288812,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.27,3.601,64.813422853926,176.274487146074,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.28,3.593,67.213919996664,173.873990003336,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.29,3.584,69.614417139402,171.47349286059801,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.3,3.576,72.01491428214,169.07299571786,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.31,3.568,74.415411424878,166.672498575122,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.32,3.56,76.815908567616,164.272001432384,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
