local_sample_row,sample_index,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
16,16,4,0.0,2.7846447601643023e-05,2.7846447601643023e-05,0.0,0.0,4.23,4.23,1.930224e-06,True,0.016660296177076095
16,16,5,0.6862745098039214,0.6696142136268453,-0.016660296177076095,0.6862745098039214,0.6862745098039214,3.473,3.473,0.0001239002,True,0.016660296177076095
16,16,6,0.0,0.0016635328351856122,0.0016635328351856122,0.0,0.0,4.329,4.329,1.016032e-06,True,0.016660296177076095
16,16,7,0.0,0.001599466641459061,0.001599466641459061,0.0,0.0,3.995,3.995,9.132937e-07,True,0.016660296177076095
16,16,8,0.0,0.0016637605251016382,0.0016637605251016382,0.0,0.0,4.294,4.294,7.06194e-07,True,0.016660296177076095
17,17,1,0.0,0.000270672934421108,0.000270672934421108,0.0,0.0,4.318,4.318,2.336685e-07,True,0.008798231656289457
17,17,2,0.0,0.001031470386336852,0.001031470386336852,0.0,0.0,4.261,4.261,1.020631e-06,True,0.008798231656289457
17,17,3,0.0,-0.00394994560559608,-0.00394994560559608,0.0,0.0,4.164,4.164,4.258879e-06,True,0.008798231656289457
17,17,4,0.6862745098039214,0.6950727414602108,0.008798231656289457,0.6862745098039214,0.6862745098039214,3.636,3.636,0.0001851566,True,0.008798231656289457
17,17,5,0.0,0.001080679646187804,0.001080679646187804,0.0,0.0,3.977,3.977,2.695409e-06,True,0.008798231656289457
17,17,6,0.0,0.0006843909727077481,0.0006843909727077481,0.0,0.0,4.329,4.329,6.338417e-07,True,0.008798231656289457
17,17,7,0.0,0.0014571091797863298,0.0014571091797863298,0.0,0.0,3.995,3.995,7.203853e-07,True,0.008798231656289457
17,17,8,0.0,0.001647421078231832,0.001647421078231832,0.0,0.0,4.294,4.294,8.833252e-07,True,0.008798231656289457
18,18,1,0.0,0.00036701855721347213,0.00036701855721347213,0.0,0.0,4.318,4.318,3.387217e-07,True,0.01641563757418285
18,18,2,0.0,0.0008892235055413702,0.0008892235055413702,0.0,0.0,4.261,4.261,6.781939e-07,True,0.01641563757418285
18,18,3,0.0,0.0018285795249601783,0.0018285795249601783,0.0,0.0,4.164,4.164,1.568076e-06,True,0.01641563757418285
18,18,4,0.0,-2.4009899301159765e-05,-2.4009899301159765e-05,0.0,0.0,4.23,4.23,1.95978e-06,True,0.01641563757418285
18,18,5,0.7019607843137254,0.6855451467395426,-0.01641563757418285,0.7019607843137254,0.7019607843137254,3.466,3.466,0.0001268475,True,0.01641563757418285
18,18,6,0.0,0.0016148806788377663,0.0016148806788377663,0.0,0.0,4.329,4.329,1.023243e-06,True,0.01641563757418285
18,18,7,0.0,0.0015245337588977218,0.0015245337588977218,0.0,0.0,3.995,3.995,9.176579e-07,True,0.01641563757418285
18,18,8,0.0,0.0015843737779603745,0.0015843737779603745,0.0,0.0,4.294,4.294,7.060663e-07,True,0.01641563757418285
19,19,1,0.0,0.000255876680087375,0.000255876680087375,0.0,0.0,4.318,4.318,2.335324e-07,True,0.0077956561423039306
19,19,2,0.0,0.0009786833936691268,0.0009786833936691268,0.0,0.0,4.261,4.261,1.025054e-06,True,0.0077956561423039306
19,19,3,0.0,-0.0038538121746342253,-0.0038538121746342253,0.0,0.0,4.164,4.164,4.391284e-06,True,0.0077956561423039306
19,19,4,0.7019607843137254,0.7097564404560294,0.0077956561423039306,0.7019607843137254,0.7019607843137254,3.628,3.628,0.0001890709,True,0.0077956561423039306
19,19,5,0.0,0.0010267478476946989,0.0010267478476946989,0.0,0.0,3.977,3.977,2.738186e-06,True,0.0077956561423039306
19,19,6,0.0,0.0006460879015426145,0.0006460879015426145,0.0,0.0,4.329,4.329,6.371081e-07,True,0.0077956561423039306
19,19,7,0.0,0.0013940005492532955,0.0013940005492532955,0.0,0.0,3.995,3.995,7.214513e-07,True,0.0077956561423039306
19,19,8,0.0,0.0015637721473346384,0.0015637721473346384,0.0,0.0,4.294,4.294,8.854306e-07,True,0.0077956561423039306
20,20,1,0.0,0.0003518541407708289,0.0003518541407708289,0.0,0.0,4.318,4.318,3.355399e-07,True,0.013784869066092775
20,20,2,0.0,0.0009184703952540146,0.0009184703952540146,0.0,0.0,4.261,4.261,6.836685e-07,True,0.013784869066092775
20,20,3,0.0,0.0018212116067941628,0.0018212116067941628,0.0,0.0,4.164,4.164,1.564177e-06,True,0.013784869066092775
20,20,4,0.0,-2.509208571571924e-05,-2.509208571571924e-05,0.0,0.0,4.23,4.23,1.955695e-06,True,0.013784869066092775
20,20,5,0.6980392156862745,0.6842543466201817,-0.013784869066092775,0.6980392156862745,0.6980392156862745,3.467,3.467,0.0001266086,True,0.013784869066092775
20,20,6,0.0,0.0015549559766157486,0.0015549559766157486,0.0,0.0,4.329,4.329,1.01058e-06,True,0.013784869066092775
20,20,7,0.0,0.00153405887180888,0.00153405887180888,0.0,0.0,3.995,3.995,9.176165e-07,True,0.013784869066092775
20,20,8,0.0,0.0015810857657354463,0.0015810857657354463,0.0,0.0,4.294,4.294,7.046935e-07,True,0.013784869066092775
21,21,1,0.0,0.00026183352865490235,0.00026183352865490235,0.0,0.0,4.318,4.318,2.340205e-07,True,0.008134917355709259
21,21,2,0.0,0.000991156378549566,0.000991156378549566,0.0,0.0,4.261,4.261,1.023887e-06,True,0.008134917355709259
21,21,3,0.0,-0.003890416690597597,-0.003890416690597597,0.0,0.0,4.164,4.164,4.355792e-06,True,0.008134917355709259
21,21,4,0.6980392156862745,0.7061741330419837,0.008134917355709259,0.6980392156862745,0.6980392156862745,3.63,3.63,0.0001881157,True,0.008134917355709259
21,21,5,0.0,0.0010328299163309893,0.0010328299163309893,0.0,0.0,3.977,3.977,2.726424e-06,True,0.008134917355709259
21,21,6,0.0,0.0006513402064659467,0.0006513402064659467,0.0,0.0,4.329,4.329,6.355293e-07,True,0.008134917355709259
21,21,7,0.0,0.0013941985205607257,0.0013941985205607257,0.0,0.0,3.995,3.995,7.188966e-07,True,0.008134917355709259
21,21,8,0.0,0.0015911573218292843,0.0015911573218292843,0.0,0.0,4.294,4.294,8.858215e-07,True,0.008134917355709259
22,22,1,0.0,0.00036658526172337095,0.00036658526172337095,0.0,0.0,4.318,4.318,3.415094e-07,True,0.014960086648512783
22,22,2,0.0,0.0008507072720991028,0.0008507072720991028,0.0,0.0,4.261,4.261,6.757173e-07,True,0.014960086648512783
22,22,3,0.0,0.0017565895493341418,0.0017565895493341418,0.0,0.0,4.164,4.164,1.565733e-06,True,0.014960086648512783
22,22,4,0.0,-7.549919538362045e-06,-7.549919538362045e-06,0.0,0.0,4.23,4.23,1.989084e-06,True,0.014960086648512783
22,22,5,0.7098039215686274,0.6948438349201146,-0.014960086648512783,0.7098039215686274,0.7098039215686274,3.462,3.462,0.0001285679,True,0.014960086648512783
22,22,6,0.0,0.0015330091950510887,0.0015330091950510887,0.0,0.0,4.329,4.329,1.017372e-06,True,0.014960086648512783
22,22,7,0.0,0.0014786803891503734,0.0014786803891503734,0.0,0.0,3.995,3.995,9.197532e-07,True,0.014960086648512783
22,22,8,0.0,0.0015365005973313021,0.0015365005973313021,0.0,0.0,4.294,4.294,7.057648e-07,True,0.014960086648512783
23,23,1,0.0,0.0002515935673400951,0.0002515935673400951,0.0,0.0,4.318,4.318,2.34153e-07,True,0.007898185167325655
23,23,2,0.0,0.0009437356933681887,0.0009437356933681887,0.0,0.0,4.261,4.261,1.026112e-06,True,0.007898185167325655
23,23,3,0.0,-0.003746052883046209,-0.003746052883046209,0.0,0.0,4.164,4.164,4.476336e-06,True,0.007898185167325655
23,23,4,0.7098039215686274,0.717702106735953,0.007898185167325655,0.7098039215686274,0.7098039215686274,3.623,3.623,0.00019119,True,0.007898185167325655
23,23,5,0.0,0.0010022452183356904,0.0010022452183356904,0.0,0.0,3.977,3.977,2.762268e-06,True,0.007898185167325655
23,23,6,0.0,0.0006557372947770816,0.0006557372947770816,0.0,0.0,4.329,4.329,6.446618e-07,True,0.007898185167325655
23,23,7,0.0,0.001324614283848511,0.001324614283848511,0.0,0.0,3.995,3.995,7.169206e-07,True,0.007898185167325655
23,23,8,0.0,0.0015386678608704006,0.0015386678608704006,0.0,0.0,4.294,4.294,8.893157e-07,True,0.007898185167325655
24,24,1,0.0,7.372162293650431e-05,7.372162293650431e-05,0.0,0.0,4.318,4.318,3.638219e-07,True,0.0011647546846526025
