sample_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,expected_input_power_0,expected_input_power_1,expected_input_power_2,expected_input_power_3,expected_input_power_4,expected_input_power_5,expected_input_power_6,expected_input_power_7,feature_sum,expected_input_power_sum,feature_min,feature_max,feature_valid,finite_ok,nonnegative_ok,sum_ok,upper_bound_ok,nonzero_ok,feature_validation_mode
903,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99999999999999,0.0,0.0,0.0,0.0,0.1999999999999999,23.99999999999999,0.0,0.1999999999999999,True,True,True,True,True,True,bounded
904,0.0,0.0,0.0,0.0,0.5725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.70588235294117,0.0,0.0,0.0,0.5725490196078431,68.70588235294117,0.0,0.5725490196078431,True,True,True,True,True,True,bounded
905,0.0,0.0,0.0,0.5725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.70588235294117,0.0,0.0,0.0,0.0,0.5725490196078431,68.70588235294117,0.0,0.5725490196078431,True,True,True,True,True,True,bounded
906,0.0,0.0,0.5450980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.41176470588236,0.0,0.0,0.0,0.0,0.0,0.5450980392156863,65.41176470588236,0.0,0.5450980392156863,True,True,True,True,True,True,bounded
907,0.0,0.5450980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.41176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.5450980392156863,65.41176470588236,0.0,0.5450980392156863,True,True,True,True,True,True,bounded
908,0.0,0.0,0.6392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70588235294117,0.0,0.0,0.0,0.0,0.0,0.6392156862745098,76.70588235294117,0.0,0.6392156862745098,True,True,True,True,True,True,bounded
909,0.0,0.6392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.6392156862745098,76.70588235294117,0.0,0.6392156862745098,True,True,True,True,True,True,bounded
910,0.0,0.0,0.784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11764705882351,0.0,0.0,0.0,0.0,0.0,0.784313725490196,94.11764705882351,0.0,0.784313725490196,True,True,True,True,True,True,bounded
911,0.0,0.784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11764705882351,0.0,0.0,0.0,0.0,0.0,0.0,0.784313725490196,94.11764705882351,0.0,0.784313725490196,True,True,True,True,True,True,bounded
912,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99999999999999,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,23.99999999999999,0.0,0.1999999999999999,True,True,True,True,True,True,bounded
913,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,23.99999999999999,0.0,0.1999999999999999,True,True,True,True,True,True,bounded
914,0.0,0.0,0.5725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.70588235294117,0.0,0.0,0.0,0.0,0.0,0.5725490196078431,68.70588235294117,0.0,0.5725490196078431,True,True,True,True,True,True,bounded
915,0.0,0.5725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.70588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.5725490196078431,68.70588235294117,0.0,0.5725490196078431,True,True,True,True,True,True,bounded
916,0.0,0.0,0.0,0.0,0.4901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.823529411764696,0.0,0.0,0.0,0.4901960784313725,58.823529411764696,0.0,0.4901960784313725,True,True,True,True,True,True,bounded
917,0.0,0.0,0.0,0.4901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.823529411764696,0.0,0.0,0.0,0.0,0.4901960784313725,58.823529411764696,0.0,0.4901960784313725,True,True,True,True,True,True,bounded
918,0.0,0.0,0.0,0.0,0.7568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82352941176471,0.0,0.0,0.0,0.7568627450980393,90.82352941176471,0.0,0.7568627450980393,True,True,True,True,True,True,bounded
919,0.0,0.0,0.0,0.7568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82352941176471,0.0,0.0,0.0,0.0,0.7568627450980393,90.82352941176471,0.0,0.7568627450980393,True,True,True,True,True,True,bounded
920,0.0,0.0,0.4901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.823529411764696,0.0,0.0,0.0,0.0,0.0,0.4901960784313725,58.823529411764696,0.0,0.4901960784313725,True,True,True,True,True,True,bounded
921,0.0,0.4901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.823529411764696,0.0,0.0,0.0,0.0,0.0,0.0,0.4901960784313725,58.823529411764696,0.0,0.4901960784313725,True,True,True,True,True,True,bounded
922,0.0,0.0,0.7568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82352941176471,0.0,0.0,0.0,0.0,0.0,0.7568627450980393,90.82352941176471,0.0,0.7568627450980393,True,True,True,True,True,True,bounded
923,0.0,0.7568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.7568627450980393,90.82352941176471,0.0,0.7568627450980393,True,True,True,True,True,True,bounded
